avg_rating,image,price,title,total_review
4.4,https://m.media-amazon.com/images/I/91nT1TTHkZL.__AC_SY300_SX300_QL70_ML2_.jpg,9.99,Coching Cat Scratcher Cardboard Cat Scratch Pad with Premium Scratch Textures Design Durable Cat Scratching Pad Reversible,"22,122"
4.1,https://m.media-amazon.com/images/I/814sIl8CSFL.__AC_SX300_SY300_QL70_ML2_.jpg,6.95,"PetSafe SlimCat Meal-Dispensing Cat Toy, Great for Food or Treats, Blue, for All Breed Sizes","23,918"
4.6,https://m.media-amazon.com/images/I/81BFk6fDIZL.__AC_SX300_SY300_QL70_ML2_.jpg,28.48,"Purina Tidy Cats Clumping Cat Litter, Tidy Max Instant Action Multi Cat Litter - 38 lb. Box","2,778"
4.7,https://m.media-amazon.com/images/I/818vcWmxGOL.__AC_SX300_SY300_QL70_ML2_.jpg,,"8 Pack Cat Fountain Filters with 8 Sponges, Pet Replacement Filters for Stainless Steel 108oz/3L, 67oz/2L Pet Fountain","1,287"
4.7,https://m.media-amazon.com/images/I/81KPDYoIQ4L.__AC_SX300_SY300_QL70_ML2_.jpg,7.74,"Fluval BioMax Biological Material Remover, 500 g - Biological Filter Media for Aquariums","6,604"
4.6,https://m.media-amazon.com/images/I/81qdkrpJ3CL.__AC_SX300_SY300_QL70_ML2_.jpg,11.69,"Kaytee Small Animal Pine Bedding For Pet Guinea Pigs, Rabbits, Hamsters, Gerbils, and Chinchillas, 52.4 Liter,Brown","7,776"
4.6,https://m.media-amazon.com/images/I/61-+48rpPvL._AC_SX300_SY300_.jpg,33.69,"Lusso Gear Dog Car Seat Cover for Back Seat, Protects from Scratches, Scuffs, Shedding, Mud, & More, 100% Waterproof, Non-Slip Cover Stays Securely in Place, Fits Your Car, Truck, & SUV (Black)","2,923"
4.7,https://m.media-amazon.com/images/I/71keq9GocHL.__AC_SX300_SY300_QL70_ML2_.jpg,6.99,H&H Pets Nail Clippers Series - for Cats and Dogs - Razor Sharp Blades Sturdy Non Slip Handles - Dog Accessories Professional at Home Grooming - Stainless Steel - Dog Nail Trimmers - XS (Cats & Birds),"10,342"
3.9,https://m.media-amazon.com/images/I/61E1a1ywbOL.__AC_SX300_SY300_QL70_ML2_.jpg,14.85,"GLADOG Soft Dog Cone Collar, 3 PCS (XL is Only 1 PCS) Flexible Plastic Cone for Dogs After Surgery, Dog Recovery Collar, Adjustable E-Collar for Large/Medium/Small Dogs Cat, Comfy Elizabethan Collar","4,537"
4.3,https://m.media-amazon.com/images/I/61dKIayDmiL.__AC_SX300_SY300_QL70_ML2_.jpg,19.89,"PETLIBRO Interactive Cat Toy for Indoor Cats, [2023 Upgraded] Kitten Toys, Automatic Cat Toy with LED Lights, Cat Mouse Toys, USB Rechargeable Moving Cat Toy, Smart Sensing Electric Cat Toy",375
